brand,model,launch,weight,display type,display size,ppi,cpu,gpu,main camera,wide,telephoto,selfie,battery
Huawei,mate rs porsche design,2018-03,183,OLED,6.0,538,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G72 MP12,40+8+20,1,1,24,4000
Huawei,mate 20 rs porsche design,2018-10,187,OLED,6.39,538,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,40+8+20,1,1,24,4200
Nokia,8 sirocco,2018-02,177,P-OLED,5.5,534,Octa-core (4x2.5 GHz Kryo & 4x1.8 GHz Kryo),Adreno 540,12+13,1,1,5,3260
Huawei,mate 20 pro,2018-10,189,OLED,6.39,538,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,40+8+20,1,1,24,4200
Xiaomi,mi mix 3,2018-10,218,Super AMOLED,6.39,403,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,12+12,1,1,24+2,3200
Apple,iphone xs max,2018-09,208,Super Retina OLED,6.5,458,Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),Apple GPU (4-core graphics),12+12,1,1,7,3174
Huawei,mate 20 x,2018-10,232,OLED,7.2,346,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,40+8+20,1,1,24,5000
Sony,xperia xz3,2018-08,193,P-OLED,6.0,537,Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,19,1,0,13,3300
Xiaomi,mi 8 pro,2018-09,177,Super AMOLED,6.21,402,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,12+12,0,0,20,3000
Samsung,galaxy note9,2018-08,201,Super AMOLED,6.4,516,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),Mali-G72 MP18,12+12,1,1,8+2,4000
Blackberry,key2,2018-06,168,IPS LCD,4.5,434,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,12+12,0,0,8,3500
Google,pixel 3,2018-10,148,P-OLED,5.5,443,Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver),Adreno 630,12.2,1,0,8+8,2915
Sony,xperia xz2 premium,2018-04,236,IPS LCD,5.8,765,Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,19+12,1,0,13,3540
Huawei,mate 20,2018-10,188,IPS LCD,6.53,381,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,12+8+16,1,1,24,4000
Htc,u12+,2018-05,188,Super LCD6,6.0,537,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,12+16+12,0,0,8+8,3500
Htc,exodus 1,2018-10,188,Super LCD6,6.0,537,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,12+16+12,0,0,8+8,3500
Xiaomi,black shark helo,2018-10,190,AMOLED,6.01,402,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,12+20,0,0,20,4000
Blackberry,key2 le,2018-08,156,IPS LCD,4.5,434,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,13+5,0,0,8,3000
Xiaomi,mi 8,2018-05,175,Super AMOLED,6.21,402,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,12+12,0,1,20,3400
Sony,xperia xz2 compact,2018-02,168,IPS LCD,5.0,483,Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,19,1,0,5,2870
Samsung,galaxy s9+,2018-02,189,Super AMOLED,6.2,529,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),Mali-G72 MP18,12+12,1,1,8+2,3500
Huawei,p20 pro,2018-03,180,OLED,6.1,408,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G72 MP12,40+8+20,1,1,24,4000
Samsung,galaxy s light luxury,2018-05,150,Super AMOLED,5.8,426,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,16,0,0,8+2,3000
Samsung,galaxy a8s,2018-12,173,PLS IPS,6.4,403,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,24+10+5,1,1,24,3400
Huawei,nova 4,2018-12,172,LTPS IPS LCD,6.4,398,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G72 MP12,48+20+16+2,1,0,25,3750
Xiaomi,black shark,2018-04,190,IPS LCD,5.99,403,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,12+20,0,0,20,4000
Xiaomi,mi 8 explorer,2018-05,177,Super AMOLED,6.21,402,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,12+12,0,0,20,3000
Nokia,8 1 ,2018-10,180,IPS LCD,6.18,408,Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,12+13,0,0,20,3500
Xiaomi,mi a2 lite ,2018-07,178,IPS LCD,5.84,432,Octa-core 2.0 GHz Cortex-A53,Adreno 506,12+5,0,0,5,4000
Apple,iphone xs,2018-09,177,Super Retina OLED,5.8,458,Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),Apple GPU (4-core graphics),12+12,1,1,7,2658
Samsung,galaxy s9,2018-02,163,Super AMOLED,5.8,570,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),Mali-G72 MP18,12,1,0,8+2,3000
Lg,g7 thinq,2018-05,162,IPS LCD,6.1,564,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,16+16,1,0,8,3000
Apple,iphone xr,2018-09,194,Liquid Retina IPS LCD,6.1,326,Hexa-core (2x2.5 GHz Vortex + 4x1.6 GHz Tempest),Apple GPU (4-core graphics),12,1,0,7,2942
Xiaomi,mi 8 lite,2018-09,169,IPS LCD,6.26,403,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,12+5,0,0,24,3350
Sony,xperia xz2,2018-02,198,IPS LCD,5.7,424,Octa-core (4x2.7 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,19,1,0,5,3180
Xiaomi,pocophone f1,2018-08,182,IPS LCD,6.18,403,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.8 GHz Kryo 385 Silver),Adreno 630,12+5,0,0,20,4000
Samsung,galaxy a8 star ,2018-06,191,Super AMOLED,6.3,392,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,24+16,1,0,24,3700
Lg,v35 thinq,2018-05,157,P-OLED,6.0,538,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,16+16,1,0,8,3300
Lg,g7 one,2018-08,156,IPS LCD,6.1,563,Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,16,0,0,8,3000
Blackberry,evolve x,2018-08,170,IPS LCD,5.99,403,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,12+13,0,0,16,4000
Huawei,nova 3,2018-07,166,IPS LCD,6.3,409,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G72 MP12,16+24,1,0,24+2,3750
Huawei,p20,2018-03,165,LTPS IPS LCD,5.8,429,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Mali-G72 MP12,12+20,1,0,24,3400
Lg,v40 thinq,2018-10,169,P-OLED,6.4,537,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,12+12+16,1,1,8+5,3300
Xiaomi,mi max 3,2018-07,221,IPS LCD,6.9,350,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,12+5,0,0,8,5500
Samsung,galaxy a7 ,2018-09,168,Super AMOLED,6.0,411,Octa-core (2x2.2 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),Mali-G71,24+8+5,1,0,24,3300
Samsung,galaxy j8,2018-05,177,Super AMOLED,6.0,274,Octa-core 1.8 GHz Cortex-A53,Adreno 506,16+5,0,0,16,3500
Samsung,galaxy a6s,2018-10,183,PLS IPS,6.0,402,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,12+5,0,0,12,3300
Lg,v30s thinq,2018-02,158,P-OLED,6.0,538,Octa-core (4x2.45 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,16+13,1,0,5,3300
Lg,q stylus,2018-06,171,IPS LCD,6.2,389,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,16,0,0,8,3300
Lg,q8 ,2018-08,172,IPS LCD,6.2,389,Octa-core 1.6 GHz Cortex-A53,Adreno 506,16,0,0,5,3300
Blackberry,evolve,2018-08,170,IPS LCD,5.99,403,Octa-core 1.8 GHz Cortex-A53,Adreno 506,13+13,0,0,16,4000
Htc,u11 eyes,2018-01,185,Super LCD3,6.0,402,Octa-core,Adreno 510,12,0,0,55,3930
Apple,iphone 11,2019-09,194,Liquid Retina IPS LCD,6.1,326,Hexa-core (2x2.65 GHz Lightning + 4x1.8 GHz Thunder),Apple GPU (4-core graphics),12+12,1,0,12,3110
